AccountNumber,Date,Curr,Value,Type
1000,5/5/2018,USD,-5000,D
1001,5/5/2018,JPY,-1000,A
1002,5/5/2018,JPY,-2000,A
1003,5/8/2018,JPY,-5000,A
1004,5/9/2018,USD,-1000,A
1005,5/10/2018,JPY,-2000,D
1006,5/11/2018,EUR,-5000,D
1007,5/12/2018,USD,-1000,D
1008,5/13/2018,USD,-2000,A
1009,6/30/2018,EUR,-5000,A
1010,7/1/2018,USD,-1000,A
1011,7/2/2018,EUR,-2000,A
1012,7/3/2018,USD,-5000,D
1013,7/4/2018,EUR,-1000,D
1014,8/1/2018,EUR,-2000,D
1015,8/2/2018,EUR,-5000,D
1016,8/3/2018,USD,-1000,D
1017,8/4/2018,USD,-5000,D
1018,8/5/2018,USD,-1000,D
